Designator,Val,Package,MidX,MidY,Rotation,Layer
C4,47u,C_Radial_D6.3mm_H11.0mm_P2.50mm,145.75,-71,0,top
C8,470u,C_Radial_D8.0mm_H11.5mm_P3.50mm,157.5,-81.25,-90,top
C9,100u,C_1206_3216Metric,172.95875,-81.25,-90,top
C10,100n,CAP_0805,161.5,-90.5,90,top
C11,100n,CAP_0805,170.70875,-81.25,-90,top
C12,10u 10V,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,166.75,-85.75,180,top
D1,SMCJ36CA,D_SMC,162,-62.25,-90,top
D3,MMSZ3V0,D_SOD-123,171.8,-58.75,180,top
D5,MMSZ3V0,D_SOD-123,201.49,-71.6,0,top
D6,RB160M,D_SOD-123,147.75,-81.25,0,top
D7,10BQ015,D_SMB,157.75,-91.1,90,top
FID1,Fiducial,Fiducial_0.5mm_Mask1.5mm,200.6,-58.7,0,top
FID3,Fiducial,Fiducial_0.5mm_Mask1.5mm,151.8,-81.3,0,top
H3,ToolingHole,JLC_toolinghole,213.2,-58.9,0,top
H4,ToolingHole,JLC_toolinghole,148.9,-85.3,0,top
J1,USB_B_Micro,USB_Micro-B_Molex-105017-0001,206.855,-59.7375,180,top
J2,Barrel_Jack_Switch,BarrelJack_Wuerth_6941xx301002,157.25,-62.25,-90,top
J3,Conn_01x03,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,206.54,-91.23,180,top
J4,Conn_01x06,PinHeader_1x06_P2.54mm_Vertical,197.26,-58.95,0,top
J5,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,188.83,-90.78,180,top
L1,470u,L_Radial_D10.5mm_P5.00mm_Abacron_AISR-01,151.5,-88.25,180,top
Q2,BSS169,SOT-23,167.4,-62.8,0,top
Q3,BC547,TO-92_Inline,157.98,-71.48,0,top
Q5,BSS169,SOT-23,204.5,-66.3,0,top
Q6,BRCS4484,BRCS4484,193.33,-90.5,-90,top
R2,1k,RES_0805,166.4,-59.28,-90,top
R3,100k,RES_0805,168.4,-59.28,90,top
R4,10k,RES_0805,171.15,-63,0,top
R5,2k2,RES_0805,171.15,-61,180,top
R6,4k7,RES_0805,201.7,-85.9,90,top
R7,10k,RES_0805,158.25,-74.5,0,top
R8,10k,RES_0805,161.75,-74.5,0,top
R9,47k,RES_0805,154.75,-73.25,0,top
R14,1k,RES_0805,200.8,-63.3,0,top
R15,100k,RES_0805,200.806666,-65.325,180,top
R16,3k6,RES_0805,200.813332,-67.35,180,top
R17,6k8,RES_0805,200.819998,-69.375,0,top
R18,1k1 1%,RES_0805,155.5,-76.5,90,top
R19,3k3 1%,RES_0805,158.25,-77.25,180,top
R20,1k,RES_0805,163.5,-81,180,top
R26,470R,RES_0805,194.9625,-77.18125,180,top
R28,470R,RES_0805,171.9,-70.7,0,top
R29,1k,RES_0805,187.33,-85.53,-90,top
R30,100k,RES_0805,189.58,-85.53,90,top
R31,1k,RES_0805,182.83,-85.5,-90,top
R32,1k,RES_0805,185.08,-85.53,90,top
R33,100k,RES_0805,180.58,-85.53,90,top
RV1,1k,pot,163.25,-77.75,90,top
U1,DS18B20,TO-92_Inline,206.79,-84.98,180,top
U3,LM2575BT-ADJ,TO-220-5_Vertical,145.5,-78.25,0,top
U4,LM1117,SOT-223-3_TabPin2,167.25,-90.5,0,top
U5,ESP-12E,ESP-12E,176.45875,-65.75,0,top
