Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22p","CAP_0805",-212.855000,-71.100000,180.000000,bottom
"C2","10n 50V","CAP_0805",-154.300000,-63.400000,180.000000,bottom
"C3","22p","CAP_0805",-212.855000,-64.900000,0.000000,bottom
"C5","10u","CAP_0805",-199.650000,-68.000000,90.000000,bottom
"C6","100n","CAP_0805",-206.355000,-60.437500,90.000000,bottom
"C7","100n","CAP_0805",-204.135000,-63.200000,180.000000,bottom
"D2","BZX84C10L","D_SOT-23_ANK",-148.250000,-62.250000,180.000000,bottom
"D4","BZX84C6V8L","D_SOT-23_ANK",-154.750000,-72.500000,180.000000,bottom
"D8","LED","LED_0805",-179.458750,-71.750000,0.000000,bottom
"FID2","Fiducial","Fiducial_0.5mm_Mask1.5mm",-197.300000,-89.900000,180.000000,bottom
"FID4","Fiducial","Fiducial_0.5mm_Mask1.5mm",-152.000000,-70.000000,180.000000,bottom
"Q1","FDD4243","TO-252-2_TabPin5",-162.250000,-62.750000,90.000000,bottom
"Q4","BC847BDW1","SOT-363_SC-70-6",-204.755000,-73.600489,90.000000,bottom
"R1","1k","RES_0805",-154.300000,-61.200000,180.000000,bottom
"R10","10k","RES_0805",-207.255000,-73.600489,-90.000000,bottom
"R11","10k","RES_0805",-202.255000,-73.600489,-90.000000,bottom
"R12","470R","RES_0805",-200.560000,-63.200000,180.000000,bottom
"R13","470R","RES_0805",-200.560000,-61.200000,180.000000,bottom
"R21","10k","RES_0805",-187.478750,-73.250000,0.000000,bottom
"R22","10k","RES_0805",-187.478750,-75.250000,0.000000,bottom
"R23","10k","RES_0805",-179.458750,-69.750000,180.000000,bottom
"R24","10k","RES_0805",-179.458750,-65.750000,180.000000,bottom
"R25","10k","RES_0805",-188.208750,-78.000000,90.000000,bottom
"R27","470R","RES_0805",-182.208750,-70.750000,90.000000,bottom
"U2","CH340B","SOIC-16_3.9x9.9mm_P1.27mm",-205.900000,-68.000000,-90.000000,bottom
"Y1","12M","Crystal_SMD_3225-4Pin_3.2x2.5mm",-212.855000,-68.000000,90.000000,bottom
